"","Tumor_Sample","Healthy_Sample"
"ACSM1",5.3431,46.7706
"ACSM2A",28.0514,3.1817
"ACSM2B",13.6918,0.9545
"ACSM3",23.296,115.5743
"ACSM4",0,0.6363
"ACSM5",4.6752,124.4034
"ACSS1",987.1431,862.8699
"ACSS2",588.746,1117.0856
"ACSS3",259.8097,304.168
"ACTA1",45.0827,32.1349
"ACTA2",9446.8693,19654.3112
"ACTBL2",3.6734,9.2269
"ACTB",92465.1862,82267.5787
"ACTC1",0.3339,3.1817
"ACTG1",85305.3932,56124.0853
"ACTG2",1718.8178,6069.3605
"ACTL6A",2447.4871,884.8234
"ACTL6B",0,0
"ACTL7A",0,0.3182
"ACTL7B",0,0.6363
"ACTL8",314.5767,0
"ACTL9",0,0
"ACTN1",8945.7338,8576.5192
"ACTN2",56.4368,4.4543
"ACTN3",4.6752,3.4998
"ACTN4",14983.286,10965.1225
"ACTR10",1103.0222,1144.7661
"ACTR1A",1744.5316,2226.8533
"ACTR1B",764.4014,1375.1193
"ACTR2",8419.7696,5237.0347
"ACTR3B",444.1476,210.6268
"ACTR3C",32.0588,20.999
"ACTR3",5143.7636,3246.2615
"ACTR5",170.6462,210.945
"ACTR6",428.4522,601.9726
"ACTR8",353.6484,456.8883
"ACTRT1",0,0
"ACTRT2",0.3339,0
"ACVR1B",521.9569,931.9122
"ACVR1C",37.4019,237.3528
"ACVR1",1714.8105,1332.1667
"ACVR2A",368.6759,574.2921
"ACVR2B",223.0756,242.1254
"ACVRL1",238.1032,1399.9364
"ACY1",343.9539,427.181
"ACY3",5.3431,8.9087
"ACYP1",118.5507,92.9049
"ACYP2",188.3453,132.3576
"ADAD1",0,0
"ADAD2",0,10.9736
"ADAL",52.4295,109.1314
"ADAM10",1415.9292,1804.9634
"ADAM11",40.7414,19.09
"ADAM12",800.1336,318.8037
"ADAM15",3207.3735,2937.7092
"ADAM17",1123.0589,1074.4512
"ADAM18",0,0
"ADAM19",210.0518,122.4944
"ADAM20",1.0018,2.2272
"ADAM21P1",9.3505,1.2727
"ADAM21",34.7303,6.3633
"ADAM22",94.1726,59.4973
"ADAM23",9.6844,92.9049
"ADAM28",98.8479,105.3134
"ADAM29",0.3339,1.909
"ADAM2",0,0
"ADAM30",0,0
"ADAM32",26.3817,35.9529
"ADAM33",42.8853,881.3045
"ADAM3A",0,0
"ADAM5P",0,0
"ADAM6",522.2408,55627.7951
"ADAM7",0,0
