"","Tumor_Sample","Healthy_Sample"
"C6orf10",0.3339,0
"C6orf114",8.0147,7.3178
"C6orf115",2353.9823,393.8912
"C6orf118",0,1.2727
"C6orf120",478.6275,831.2759
"C6orf122",5.6771,9.2141
"C6orf123",22.3744,12.4085
"C6orf124",65.1194,18.1355
"C6orf125",1108.8228,475.3134
"C6orf126",1.3358,0.6363
"C6orf127",0.3339,0.9545
"C6orf129",554.3496,87.496
"C6orf130",525.5969,262.4531
"C6orf132",179.6627,184.8552
"C6orf134",313.5749,254.5339
"C6orf136",301.5528,146.0388
"C6orf138",16.6973,18.4537
"C6orf141",100.5176,68.406
"C6orf142",6.345,5.4088
"C6orf145",574.0524,1840.28
"C6orf146",0,0
"C6orf147",20.3707,3.8976
"C6orf150",179.9967,82.4053
"C6orf153",908.9998,470.2514
"C6orf154",13.3578,13.0449
"C6orf155",72.8001,73.1785
"C6orf15",161.9636,48.6796
"C6orf162",112.523,158.6478
"C6orf163",6.345,13.0449
"C6orf164",13.7085,19.5259
"C6orf165",2.0037,20.9736
"C6orf167",469.8614,245.307
"C6orf168",510.9367,150.175
"C6orf170",147.27,119.6309
"C6orf174",118.1934,119.3732
"C6orf176",2.0037,25.8225
"C6orf182",176.3233,149.8568
"C6orf186",2.6716,12.4085
"C6orf191",0,0.3182
"C6orf192",552.346,572.0649
"C6orf195",2.3376,0.6363
"C6orf1",643.1792,209.3541
"C6orf201",1.3358,6.0484
"C6orf203",350.9768,240.5345
"C6orf204",77.8093,94.1775
"C6orf208",1.0018,7.3306
"C6orf211",562.0304,690.4232
"C6orf217",1.6697,9.8632
"C6orf218",18.0331,0
"C6orf221",0,0.6363
"C6orf222",0.3339,0
"C6orf223",10.6863,1.2854
"C6orf225",283.8537,161.3108
"C6orf226",72.4662,44.2253
"C6orf227",0.3339,1.2727
"C6orf25",1.0018,1.909
"C6orf26",36.3366,28.8164
"C6orf27",91.5011,50.2704
"C6orf35",385.7071,355.0748
"C6orf41",10.6863,5.727
"C6orf47",720.9885,667.1969
"C6orf48",3548.1716,1498.2501
"C6orf52",5.6771,7.3178
"C6orf57",119.2186,95.7684
"C6orf58",1.0018,1.2727
"C6orf59",5.3431,7.3178
"C6orf62",3848.2752,2807.3528
"C6orf64",1096.0094,617.881
"C6orf70",187.6774,280.6236
"C6orf72",624.1443,914.7311
"C6orf81",8.0147,3.818
"C6orf89",2934.7136,2974.8648
"C6orf94",0,0.6363
"C6orf97",95.8424,319.1219
"C6",0,106.9042
"C7orf10",120.2204,21.9535
"C7orf11",363.6667,326.7579
"C7orf13",113.5415,60.77
"C7orf16",0,2.5453
"C7orf23",254.7036,382.8158
"C7orf25",268.8262,267.286
"C7orf26",370.0117,659.2428
"C7orf27",659.8764,660.5154
"C7orf28A",1528.4689,990.7731
"C7orf28B",419.4356,245.6252
"C7orf29",131.2406,97.6774
"C7orf30",309.5675,319.44
"C7orf31",72.8001,110.4041
"C7orf33",0,0
"C7orf34",0.6679,0
"C7orf36",236.4335,180.7191
"C7orf40",205.0426,342.6662
"C7orf41",617.1314,2412.6631
"C7orf42",3263.984,3093.8594
"C7orf43",176.3233,244.9889
"C7orf44",382.3677,473.1149
"C7orf45",0.3339,0.6363
"C7orf46",85.824,267.8969
"C7orf47",193.3545,123.7671
"C7orf49",649.1568,377.3847
"C7orf4",0.3339,0.3182
"C7orf50",625.814,638.8801
"C7orf51",17.0312,68.0878
"C7orf52",2.0037,0
"C7orf53",18.367,25.7716
"C7orf54",2.3376,4.1362
"C7orf55",215.3882,206.0929
"C7orf57",0.6679,0.3182
"C7orf58",115.2112,816.0993
"C7orf59",1085.991,809.4178
"C7orf60",293.2042,419.0264
"C7orf61",3.6734,8.2724
"C7orf63",19.7028,202.0363
"C7orf64",241.7766,272.9876
"C7orf65",0.6679,0.9545
"C7orf66",0,0
"C7orf68",442.4779,132.0395
"C7orf69",0,0.3182
"C7orf70",565.3698,383.3917
"C7orf71",0,0.3182
"C7orf72",0,0
"C7",53.0973,1546.6115
"C8A",0,0
"C8B",0,0
"C8G",9.3505,1.909
"C8ORFK29",21.4126,1.9154
"C8orf12",0,0
"C8orf22",0,0
"C8orf30A",728.3353,256.7611
"C8orf31",8.6826,9.2269
"C8orf33",2410.0852,901.3681
"C8orf34",1.6697,13.6812
"C8orf37",118.8846,118.9946
"C8orf38",258.1399,136.4938
"C8orf39",7.0129,3.818
"C8orf40",806.1446,527.8396
"C8orf41",198.013,274.7502
"C8orf42",322.2575,538.6573
"C8orf44",34.4532,40.5154
"C8orf45",70.1286,20.999
"C8orf46",1549.1735,30.8622
"C8orf47",40.4074,37.8619
"C8orf48",15.6954,25.4534
"C8orf4",139.5892,1218.8991
"C8orf51",70.1286,26.4079
"C8orf55",793.4547,456.5702
"C8orf56",0.3339,0.3182
"C8orf58",108.1984,224.6262
"C8orf59",731.0002,505.9593
"C8orf71",0,0
"C8orf73",96.1763,43.2708
"C8orf74",0,0
"C8orf75",0,0
"C8orf76",674.57,265.0334
"C8orf77",15.0276,3.4998
"C8orf79",32.3927,488.3869
"C8orf80",1.3358,12.0904
"C8orf83",679.9132,662.4244
"C8orf84",484.889,322.6217
"C8orf85",1707.7976,153.6748
"C8orf86",0.3339,1.2727
"C9orf100",80.2438,40.3945
"C9orf102",98.6609,169.6914
"C9orf103",47.4203,90.6777
"C9orf106",0.3339,0.9545
"C9orf109",12.356,25.7716
"C9orf110",101.5195,164.4925
"C9orf114",269.2536,413.923
"C9orf116",16.6973,37.2256
"C9orf117",5.0092,9.545
"C9orf119",262.4812,187.0824
"C9orf11",0.3339,1.909
"C9orf122",33.0606,27.6806
"C9orf123",1124.3947,591.7913
"C9orf125",13.6918,111.6767
"C9orf128",0,2.5453
"C9orf129",95.819,77.3465
"C9orf130",146.345,197.9446
"C9orf131",2.0037,6.9997
"C9orf135",1.0018,0.9545
"C9orf139",5.1494,0.3309
"C9orf140",418.4338,145.7206
"C9orf142",310.2354,207.7633
"C9orf144B",0.6679,1.909
"C9orf144",0.3339,0
"C9orf150",534.6469,506.8406
"C9orf152",51.7616,153.0385
"C9orf153",2.0037,2.2272
"C9orf156",107.8644,258.0337
"C9orf163",5.6771,2.2272
"C9orf167",110.536,115.4948
"C9orf169",2.1005,2.6312
"C9orf16",780.4308,419.3446
"C9orf170",25.7138,4.4543
"C9orf171",0,3.1817
"C9orf172",7.0129,3.818
"C9orf173",0.6679,0.6363
"C9orf21",226.749,319.1219
"C9orf23",206.0444,294.3048
"C9orf24",18.367,5.727
"C9orf25",461.1788,621.0627
"C9orf27",0,0
"C9orf30",560.3941,192.4276
"C9orf37",110.536,101.4954
"C9orf3",294.9374,388.4283
"C9orf40",194.6903,209.9905
"C9orf41",156.9544,188.0369
"C9orf43",2.3376,8.9087
"C9orf44",1.3358,5.4088
"C9orf45",101.5195,163.8562
"C9orf46",552.346,245.307
"C9orf47",5.3632,9.9141
"C9orf4",3.3395,0.6363
"C9orf50",3.0055,1.5908
"C9orf53",0.3339,0
"C9orf57",0,0
"C9orf5",1304.3914,2696.4683
"C9orf64",345.6337,340.1209
"C9orf66",3.0055,26.7261
"C9orf68",10.6863,106.5861
"C9orf69",1018.2,733.0576
"C9orf6",300.551,407.2542
"C9orf70",3.0055,0.3182
"C9orf71",3.0155,0
"C9orf72",241.1087,536.112
"C9orf78",1195.1912,1441.9345
"C9orf79",0,0
"C9orf7",454.166,417.4356
"C9orf80",164.9691,255.8066
"C9orf82",283.1858,436.2074
"C9orf84",0,1.909
"C9orf85",126.5654,179.4464
"C9orf86",1601.6029,1495.7047
"C9orf89",468.8596,264.7152
"C9orf91",537.9863,394.2094
"C9orf93",107.5305,98.95
"C9orf95",373.3511,354.4384
"C9orf96",8.6826,13.6812
"C9orf98",11.3541,20.6809
"C9orf9",163.2994,135.2211
"C9",0.6679,0.9545
"CA10",17.6991,2.5453
"CA11",367.3401,319.1059
"CA12",1135.7489,2420.2991
"CA13",305.0225,178.2564
"CA14",6.011,11.454
"CA1",0.3339,0.6363
"CA2",206.7123,219.2173
"CA3",53.3011,401.7626
"CA4",0.3339,174.992
"CA5A",0,0
"CA5BP",259.1418,216.3538
"CA5B",1040.5644,623.2517
"CA6",2.6716,9.545
"CA7",1.0018,0.6363
"CA8",1352.1456,287.6233
"CA9",6.6188,0.0986
"CAB39L",515.612,2086.8597
"CAB39",2132.9103,1952.9112
"CABC1",1429.808,1360.0827
"CABIN1",1544.8322,1323.8944
"CABLES1",1463.0155,724.7852
"CABLES2",235.7656,196.6274
"CABP1",1.0018,9.8632
"CABP2",0,0
"CABP4",9.3505,23.5221
"CABP5",0,0.3182
"CABP7",16.2865,2.3544
"CABYR",325.5969,95.132
"CACHD1",254.1326,1706.0134
"CACNA1A",73.802,8.9087
"CACNA1B",7.6807,3.4998
"CACNA1C",133.2443,469.615
"CACNA1D",92.169,76.3602
"CACNA1E",5.6771,7.3178
"CACNA1F",6.011,7.9542
"CACNA1G",31.0569,17.181
"CACNA1H",20.0367,175.9465
"CACNA1I",1.6697,22.908
"CACNA1S",0.6679,0.9545
"CACNA2D1",52.7634,178.8101
"CACNA2D2",12.356,78.2692
"CACNA2D3",3.0055,14.6357
"CACNA2D4",54.4331,51.2249
"CACNB1",164.6352,158.7655
"CACNB2",71.7983,33.0894
"CACNB3",508.933,391.0277
"CACNB4",208.382,159.0837
"CACNG1",2.3376,1.5908
"CACNG2",0,0
"CACNG3",0,0
"CACNG4",119.5525,225.2625
"CACNG5",0,0
"CACNG6",0,0.3182
"CACNG7",0,0
"CACNG8",0,0
"CACYBP",2790.7831,1000.3182
"CADM1",1682.4178,749.2841
"CADM2",3.0055,13.0449
"CADM3",14.0257,703.2039
"CADM4",1038.5707,634.4257
"CADPS2",253.4647,961.1836
"CADPS",1.0018,5.4088
"CAD",1940.8916,1111.6767
"CAGE1",0.3339,0.6363
"CALB1",6.345,0.6363
"CALB2",949.4072,478.5237
"CALCA",0.3339,1.909
"CALCB",8.0147,0.3182
"CALCOCO1",610.7864,3268.5332
"CALCOCO2",2043.4129,3144.448
"CALCRL",232.4261,911.2313
"CALCR",7.3468,13.6812
"CALD1",10695.6086,12850.7795
"CALHM1",0,0.9545
"CALHM2",575.3882,1066.497
"CALHM3",0.3339,0.3182
"CALM1",5250.6261,8341.3936
"CALM2",14225.0793,11733.0576
"CALM3",5489.3972,3686.9233
"CALML3",2.0037,366.847
"CALML4",367.6741,390.0732
"CALML5",678.9113,180.7191
"CALML6",2.3376,3.818
"CALN1",28.3854,22.908
"CALR3",1.0018,0
"CALR",24433.1274,9514.7948
"CALU",13175.1544,3926.1852
"CALY",0,0
"CAMK1D",358.3236,114.8584
"CAMK1G",2.3376,1.2727
"CAMK1",171.1872,406.7674
"CAMK2A",8.3486,3.1817
"CAMK2B",14.0257,70.9513
"CAMK2D",1001.8367,1250.3977
"CAMK2G",557.3552,665.9243
"CAMK2N1",460.5109,1827.2351
"CAMK2N2",25.0459,4.1362
"CAMK4",11.0202,8.5905
"CAMKK1",136.2498,411.3904
"CAMKK2",1459.0082,1823.4171
"CAMKV",5.0092,1.909
"CAMLG",827.8511,966.9106
"CAMP",8.6826,0
"CAMSAP1L1",1764.5684,1716.1947
"CAMSAP1",886.6255,853.0067
"CAMTA1",908.3319,629.0169
"CAMTA2",840.207,1335.6666
"CAND1",4486.5587,2675.7875
"CAND2",254.1326,173.083
"CANT1",1984.3046,1209.6723
"CANX",26480.5477,14017.4992
"CAP1",8850.8933,6009.8632
"CAP2",183.0022,375.7556
"CAPG",3844.0474,1012.7267
"CAPN10",213.3912,312.2908
"CAPN11",2.0037,94.8139
"CAPN12",79.3288,57.1492
"CAPN13",72.8001,98.6319
"CAPN14",22.3744,6.3633
"CAPN1",4171.648,3415.8447
"CAPN2",10565.0359,5695.1957
"CAPN3",39.3822,260.0891
"CAPN5",180.9985,434.6166
"CAPN6",976.7908,492.5231
"CAPN7",654.1994,1065.5425
"CAPN8",24.712,155.5838
"CAPN9",6.345,32.4531
"CAPNS1",5080.9818,4899.4591
"CAPNS2",1.3358,0.6363
"CAPRIN1",7609.2837,5264.3971
"CAPRIN2",488.5624,346.4843
"CAPS2",54.0992,59.4973
"CAPSL",0.6679,1.5908
"CAPS",2019.7028,274.8966
"CAPZA1",4530.6395,2505.5679
"CAPZA2",2194.3563,2815.4629
"CAPZA3",8.3486,12.0904
"CAPZB",5235.9325,4062.9971
"CARD10",336.6171,989.1823
"CARD11",115.2112,132.994
"CARD14",329.2703,147.3115
"CARD16",90.8332,193.7639
"CARD17",0,0
"CARD18",0,0
"CARD6",138.9214,561.2472
"CARD8",704.2912,1056.952
"CARD9",86.8258,131.085
"CARHSP1",1002.8051,1310.9768
"CARKD",1173.1508,918.8673
"CARM1",2042.745,799.2364
"CARNS1",24.0441,35.6347
"CARS2",1353.9823,570.3341
"CARS",1307.3969,784.6007
"CARTPT",0,0
"CASC1",9.3505,29.2714
"CASC2",10.0184,23.2262
"CASC3",2207.7141,2744.5116
"CASC4",3231.9252,3428.5714
"CASC5",96.5103,16.5447
"CASD1",440.4742,833.2803
"CASKIN1",10.2288,12.959
"CASKIN2",792.2591,1569.79
"CASK",2121.2222,1355.3929
"CASP10",72.1322,524.658
"CASP12",0,55.043
"CASP14",0,4.1362
"CASP1",257.1381,617.881
"CASP2",1601.269,851.734
"CASP3",573.7185,698.3773
"CASP4",490.566,1161.9472
"CASP5",1.0018,0.3182
"CASP6",605.4433,314.9857
"CASP7",703.9573,1014.6357
"CASP8AP2",543.3294,613.1085
"CASP8",486.8926,504.9316
"CASP9",310.9033,345.8479
"CASQ1",0.6679,5.727
"CASQ2",4.6752,201.7181
"CASR",18.701,0.6363
"CASS4",24.712,52.1794
"CAST",3893.832,7302.8317
"CASZ1",371.3475,879.4146
"CATSPER1",3.3395,0.6363
"CATSPER2P1",22.8218,22.9558
"CATSPER2",20.3707,57.5533
"CATSPER3",7.3468,5.0907
"CATSPER4",0,0
"CATSPERB",5.3431,36.2711
"CATSPERG",14.3597,18.7719
"CAT",3102.3543,4122.4944
"CAV1",1170.1453,12334.7121
"CAV2",1319.7529,3607.0633
"CAV3",0,0.9545
"CBARA1",1276.34,987.2733
"CBFA2T2",489.8981,773.4648
"CBFA2T3",30.0551,265.9879
"CBFB",1685.7572,1077.951
"CBLB",385.7071,568.5651
"CBLC",484.2211,137.1301
"CBLL1",598.7644,539.6118
"CBLN1",0.6679,8.5905
"CBLN2",0,0.9545
"CBLN3",34.3964,47.0888
"CBLN4",6.6789,28.3169
"CBL",1287.0262,1087.8142
"CBR1",1345.1528,903.0099
"CBR3",179.6627,258.6701
"CBR4",369.0099,547.251
"CBS",2274.5033,109.4496
"CBWD1",1043.9138,493.1594
"CBWD2",432.1256,760.7381
"CBWD3",328.4555,316.7706
"CBWD5",2.4846,0.1241
"CBWD6",73.802,76.6783
"CBX1",2425.7806,1542.4753
"CBX2",749.7078,74.7693
"CBX3",3792.2859,2901.3681
"CBX4",934.3797,510.3404
"CBX5",1432.2925,2669.7423
"CBX6",504.2578,675.4693
"CBX7",770.4124,2533.2485
"CBX8",181.3324,64.2698
"CBY1",577.3151,600.2259
"CC2D1A",1292.0354,1197.5819
"CC2D1B",1193.8554,712.0585
"CC2D2A",361.997,565.0652
"CC2D2B",1.6697,11.7308
"CCAR1",1570.2121,1543.748
"CCBE1",14.3597,57.2701
"CCBL1",104.191,90.3595
"CCBL2",433.5749,501.7913
"CCBP2",7.0129,304.4862
"CCDC101",121.2222,250.0795
"CCDC102A",336.9511,242.1254
"CCDC102B",32.3927,83.3598
"CCDC103",67.791,101.1772
"CCDC104",984.1376,908.686
"CCDC105",0,0.3182
"CCDC106",224.0775,208.0815
"CCDC107",386.0077,463.4839
"CCDC108",0.3339,2.8635
"CCDC109A",686.5921,423.7989
"CCDC109B",473.8688,382.119
"CCDC110",41.0753,95.7684
"CCDC111",147.7475,268.5651
"CCDC112",267.4904,261.8517
"CCDC113",447.1531,173.4012
"CCDC114",43.4129,17.181
"CCDC115",1129.7379,824.0535
"CCDC116",3.0055,3.818
"CCDC117",1271.6647,801.1454
"CCDC11",5.6771,23.8626
"CCDC120",331.9419,377.3465
"CCDC121",113.2075,151.4477
"CCDC122",97.1782,109.1314
"CCDC123",393.7218,403.4362
"CCDC124",1379.5291,699.0137
"CCDC125",213.3912,372.8921
"CCDC126",236.4335,427.2988
"CCDC127",424.7788,365.8925
"CCDC129",10.0184,103.0862
"CCDC12",376.3567,523.7035
"CCDC130",505.9275,389.4368
"CCDC132",405.4099,536.112
"CCDC134",139.9232,32.1349
"CCDC135",0.6679,0.9545
"CCDC136",83.8203,107.8587
"CCDC137",476.2064,265.0334
"CCDC138",56.4368,51.8613
"CCDC13",9.0165,12.7267
"CCDC140",0,0
"CCDC141",4.0073,76.3602
"CCDC142",152.9905,125.5297
"CCDC144A",80.3807,46.7706
"CCDC144B",141.643,106.0165
"CCDC144C",41.0753,1.909
"CCDC144NL",0.3339,0
"CCDC146",131.9085,155.902
"CCDC147",12.6899,12.4085
"CCDC148",11.3541,24.8171
"CCDC149",460.177,569.8377
"CCDC14",883.62,1211.2631
"CCDC150",53.4313,10.8177
"CCDC151",8.0147,3.1817
"CCDC152",35.2513,136.392
"CCDC153",31.3909,9.8632
"CCDC154",4.6752,5.0907
"CCDC155",5.6771,0
"CCDC157",29.444,35.3357
"CCDC158",28.3854,39.7709
"CCDC159",153.615,200.7636
"CCDC15",69.1267,49.9523
"CCDC160",13.3578,20.999
"CCDC163P",38.7377,19.4082
"CCDC17",3.3395,20.0445
"CCDC18",145.6303,69.6787
"CCDC19",18.701,28.3169
"CCDC21",577.3919,287.9415
"CCDC22",448.6826,349.9936
"CCDC23",351.6447,296.8501
"CCDC24",125.1528,123.5189
"CCDC25",756.7207,983.4553
"CCDC27",0,0
"CCDC28A",499.9165,526.567
"CCDC28B",128.569,73.8148
"CCDC30",43.079,86.2234
"CCDC33",0,0.6363
"CCDC34",367.3401,369.3923
"CCDC36",9.0165,48.0433
"CCDC37",0,0.3182
"CCDC38",0,0.3182
"CCDC39",22.0404,32.3608
"CCDC3",760.3941,1517.3401
"CCDC40",82.1506,136.4938
"CCDC41",142.5948,174.992
"CCDC42B",2.8786,6.6242
"CCDC42",0,0.3182
"CCDC43",606.4451,393.2549
"CCDC45",610.1186,615.6538
"CCDC46",91.4209,431.7531
"CCDC47",5450.3256,3074.4512
"CCDC48",22.3744,121.2218
"CCDC50",3035.5652,3475.342
"CCDC51",305.8941,187.4006
"CCDC52",315.2446,462.2972
"CCDC53",369.0099,454.0248
"CCDC54",0,1.2727
"CCDC55",754.383,1066.1788
"CCDC56",556.6138,619.1791
"CCDC57",272.8335,458.161
"CCDC58",191.3508,167.6742
"CCDC59",550.6762,575.8829
"CCDC60",0,0.3182
"CCDC61",81.1488,164.1744
"CCDC62",3.0055,6.9997
"CCDC63",0,0.3182
"CCDC64B",719.9866,545.9752
"CCDC64",190.015,54.7248
"CCDC65",0.3339,7.9542
"CCDC66",207.103,386.9074
"CCDC67",52.0955,3.1817
"CCDC68",45.0827,101.4954
"CCDC69",143.2626,1645.8797
"CCDC6",2951.4109,2292.714
"CCDC70",0,0
"CCDC71",270.162,434.6166
"CCDC72",881.2824,1002.2272
"CCDC73",43.1725,43.3758
"CCDC74A",94.8405,111.0404
"CCDC74B",73.1341,68.406
"CCDC75",99.1818,89.405
"CCDC76",297.6624,331.7308
"CCDC77",612.1222,168.9469
"CCDC78",33.0606,12.0904
"CCDC79",0,0.3182
"CCDC7",48.6492,38.2724
"CCDC80",876.6071,15812.5994
"CCDC81",5.0092,10.8177
"CCDC82",759.7262,781.1009
"CCDC83",0,0.6363
"CCDC84",109.8681,98.3137
"CCDC85A",10.6863,262.9367
"CCDC85B",163.2994,243.0799
"CCDC85C",518.1833,602.0235
"CCDC86",774.0791,515.4184
"CCDC87",5.6771,14.6357
"CCDC88A",2259.4757,902.959
"CCDC88B",164.6352,354.7566
"CCDC88C",751.3775,763.6017
"CCDC89",13.0239,47.0888
"CCDC8",152.6131,1193.7639
"CCDC90A",306.2281,221.4445
"CCDC90B",649.1568,689.1091
"CCDC91",1239.9399,476.9329
"CCDC92",997.4954,796.0547
"CCDC93",630.1553,966.5924
"CCDC94",307.5639,337.2574
"CCDC96",14.6936,100.8591
"CCDC97",831.8584,1065.5425
"CCDC99",202.0371,143.8116
"CCDC9",439.4724,453.7066
"CCHCR1",517.6156,380.8463
"CCIN",12.356,5.0907
"CCKAR",2.6716,0
"CCKBR",78.4772,0.6363
"CCK",25.3799,0.3182
"CCL11",2.3376,1.5908
"CCL13",254.4665,106.5861
"CCL14-CCL15",0,0
"CCL14",18.0331,2829.4273
"CCL15",0.6679,1.5908
"CCL16",0,10.8177
"CCL17",36.4001,3.4998
"CCL18",95.5084,584.1553
"CCL19",4.0073,165.7652
"CCL1",0,0
"CCL20",28.7193,33.7257
"CCL21",4.6752,3752.784
"CCL22",280.1803,147.3115
"CCL23",0.3339,16.2265
"CCL24",0.3339,0.3182
"CCL25",0,0.3182
"CCL26",4.6752,7.9542
"CCL27",0,0
"CCL28",89.1635,1787.4642
"CCL2",977.1247,5968.1833
"CCL3L1",130.6963,542.364
"CCL3L3",3.5498,45.2911
"CCL3",167.3067,751.8295
"CCL4L2",260.8115,1020.6809
"CCL4",149.2737,753.1021
"CCL5",718.9848,421.5717
"CCL7",14.0257,0
"CCL8",355.652,465.797
"CCM2",644.181,794.7821
"CCNA1",366.0043,25.4534
"CCNA2",733.0105,56.971
"CCNB1IP1",778.0932,703.468
"CCNB1",1184.8389,200.7636
"CCNB2",599.7662,49.6341
"CCNB3",20.0367,11.454
"CCNC",2097.8461,1053.4521
"CCND1",11698.1466,4362.6376
"CCND2",304.8923,2258.0337
"CCND3",1562.5313,2047.0888
"CCNDBP1",403.0723,1176.5829
"CCNE1",131.9085,20.0445
"CCNE2",118.2535,28.1069
"CCNF",347.9713,120.5854
"CCNG1",903.3228,1954.8202
"CCNG2",1286.6923,1612.154
"CCNH",392.4996,654.7598
"CCNI2",156.1997,16.7515
"CCNI",5682.4178,5217.3083
"CCNJL",112.8736,98.3137
"CCNJ",219.7362,219.2173
"CCNK",839.9733,886.9997
"CCNL1",1188.8462,4190.2641
"CCNL2",1943.5632,2217.6265
"CCNO",65.1194,43.9071
"CCNT1",128.903,210.6268
"CCNT2",709.6343,870.8241
"CCNYL1",512.6064,545.9752
"CCNY",3523.7936,1936.6847
"CCPG1",4762.1139,2917.5597
"CCR10",3.6734,14.3175
"CCR1",408.4154,291.4413
"CCR2",32.3927,51.5431
"CCR3",5.0092,4.1362
"CCR4",6.345,13.6812
"CCR5",149.6076,136.812
"CCR6",61.1354,88.6446
"CCR7",19.3688,53.7703
"CCR8",6.6789,2.5453
"CCR9",10.3523,5.0907
"CCRL1",98.18,290.1686
"CCRL2",37.4019,79.5418
"CCRN4L",171.648,258.0337
"CCS",642.8452,433.6621
"CCT2",3889.1301,2640.7891
"CCT3",9073.635,4262.1699
"CCT4",5255.9693,3207.1269
"CCT5",4920.354,2924.9125
"CCT6A",3475.0376,3032.1349
"CCT6B",45.4166,76.3602
"CCT6P1",57.1047,65.5425
"CCT7",5114.0424,3571.7467
"CCT8L2",0,0
"CCT8",3562.5313,2721.9217
"CD101",22.3744,36.9074
"CD109",4134.2261,1211.8995
"CD14",1941.8935,3011.1359
"CD151",6336.9511,6775.692
"CD160",7.0129,15.5902
"CD163L1",180.9985,187.7187
"CD163",1887.7943,1235.1257
"CD164L2",2.6716,44.2253
"CD164",8893.9723,9174.6739
"CD177",48.7561,2.8635
"CD180",331.6079,132.6758
"CD19",0,0.9545
"CD1A",580.7313,2.5453
"CD1B",94.8405,6.0452
"CD1C",116.547,63.3153
"CD1D",15.6954,38.1801
"CD1E",205.3765,40.4073
"CD200R1L",0,0.6363
"CD200R1",39.4056,91.6322
"CD200",219.7362,721.6036
"CD207",1391.8851,13.9994
"CD209",245.45,627.426
"CD226",16.0294,21.9535
"CD22",15.6954,26.0897
"CD244",18.0331,18.7719
"CD247",38.7377,96.7229
"CD248",475.2045,3787.7824
"CD24",37007.1798,11974.8648
"CD274",28.7193,38.8164
"CD276",2650.526,1768.056
"CD27",32.6064,91.1549
"CD28",110.202,90.9959
"CD2AP",2769.0766,1476.9329
"CD2BP2",828.8529,1221.1263
"CD2",67.457,176.5829
"CD300A",195.6921,197.5819
"CD300C",25.0459,20.0445
"CD300E",12.022,2.5453
"CD300LB",10.0184,27.0442
"CD300LD",0.3339,1.5908
"CD300LF",29.0533,23.5444
"CD300LG",1.3358,1010.4995
"CD302",1666.8325,2060.4518
"CD320",970.4458,386.5733
"CD33",93.8387,104.6771
"CD34",469.1935,8403.118
"CD36",93.1708,9671.3331
"CD37",258.8078,198.5364
"CD38",24.712,48.9978
"CD3D",21.7065,81.1327
"CD3EAP",595.7589,461.979
"CD3E",75.1378,238.6255
"CD3G",7.0129,23.2262
"CD40LG",3.3395,66.1788
"CD40",172.3159,395.8002
"CD44",22252.7968,9950.0477
"CD46",4765.7372,5010.4995
"CD47",2689.2637,3874.6421
"CD48",106.1947,164.4925
"CD4",1591.9185,1243.398
"CD52",117.5488,193.7639
"CD53",555.0175,655.4248
"CD55",2547.0028,5283.4871
"CD58",372.6833,279.6691
"CD59",32187.3435,20431.1168
"CD5L",2.3376,0.6363
"CD5",25.0459,102.1317
"CD63",16923.6934,10846.9615
"CD68",1968.9431,2108.8132
"CD69",40.4074,552.3385
"CD6",192.0187,127.5851
"CD70",36.734,34.0439
"CD72",45.4166,31.4986
"CD74",41014.5266,34705.377
"CD79A",7.6807,81.769
"CD79B",167.9746,177.2192
"CD7",39.4056,73.4967
"CD80",65.7873,14.3175
"CD81",8667.8911,11723.8307
"CD82",1713.1408,1716.1947
"CD83",823.1758,870.1877
"CD84",120.2204,85.9052
"CD86",338.9548,224.308
"CD8A",66.1212,189.9459
"CD8B",58.1065,49.3159
"CD93",1232.5931,5436.5256
"CD96",33.3946,136.4938
"CD97",1123.0589,1170.5377
"CD99L2",468.8596,1502.7044
"CD99",2589.08,2788.1005
"CD9",25624.6452,6282.8508
"CDADC1",212.0554,253.2612
"CDAN1",124.8956,290.4868
"CDA",98.8479,73.4967
"CDC123",2843.7936,904.957
"CDC14A",134.914,391.9822
"CDC14B",366.6722,621.0627
"CDC14C",12.356,8.2724
"CDC16",1666.3884,1559.9745
"CDC20B",0.6679,0.9545
"CDC20",1306.0611,51.8613
"CDC23",608.1149,774.7375
"CDC25A",132.9103,33.0894
"CDC25B",1279.0115,1146.9933
"CDC25C",76.4735,6.3633
"CDC26",111.5078,125.9943
"CDC27",1740.8582,1564.4289
"CDC34",977.1247,556.4747
"CDC37L1",608.1149,567.6106
"CDC37",2941.3926,3094.4957
"CDC40",906.3283,832.3258
"CDC42BPA",2912.0053,2223.9898
"CDC42BPB",2256.1362,3476.9329
"CDC42BPG",610.4525,746.7388
"CDC42EP1",3631.3241,2320.7127
"CDC42EP2",104.8589,831.0531
"CDC42EP3",1761.8968,928.7305
"CDC42EP4",4399.7328,2444.798
"CDC42EP5",198.6976,210.3086
"CDC42SE1",3419.4857,3549.7836
"CDC42SE2",1241.2757,1526.8851
"CDC42",4880.9484,5547.2479
"CDC45",259.1418,16.5447
"CDC5L",1440.9751,1197.2638
"CDC6",376.6906,86.5415
"CDC73",1297.3785,1106.5861
"CDC7",236.4335,115.8129
"CDCA2",436.8008,16.2265
"CDCA3",631.5679,21.2727
"CDCA4",338.9548,247.5342
"CDCA5",598.4305,59.4973
"CDCA7L",467.7676,776.9201
"CDCA7",443.4797,84.9507
"CDCA8",639.8397,35.6347
"CDCP1",2122.2241,713.6494
"CDCP2",0.6679,2.2272
"CDH10",0.3339,4.4543
"CDH11",3373.5181,785.8734
